Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,28OCT21,18100,PE,2021-10-22,09:36:59,70.7,71.8,67.75,69.2,85750,1748950
NIFTY,28OCT21,18100,PE,2021-10-22,09:37:59,69.1,71.15,66.9,67.05,99650,1748950
NIFTY,28OCT21,18100,PE,2021-10-22,09:38:59,68.0,70.35,67.25,68.5,75550,1776500
NIFTY,28OCT21,18100,PE,2021-10-22,09:39:59,68.4,68.6,66.15,66.7,70900,1776500
NIFTY,28OCT21,18100,PE,2021-10-22,09:40:59,66.35,66.35,62.5,64.85,169700,1776500
NIFTY,28OCT21,18100,PE,2021-10-22,09:41:59,65.0,65.2,62.8,64.5,87100,1794350
NIFTY,28OCT21,18100,PE,2021-10-22,09:42:59,65.0,66.0,63.75,65.1,105500,1794350
NIFTY,28OCT21,18100,PE,2021-10-22,09:43:59,65.5,67.75,65.0,65.15,79700,1794350
NIFTY,28OCT21,18100,PE,2021-10-22,09:44:59,65.6,65.6,62.4,63.0,77950,1806300
NIFTY,28OCT21,18100,PE,2021-10-22,09:45:59,62.9,66.8,61.4,66.35,94450,1806300
NIFTY,28OCT21,18100,PE,2021-10-22,09:46:59,66.75,68.2,65.9,67.75,128550,1806300
NIFTY,28OCT21,18100,PE,2021-10-22,09:47:59,67.5,70.2,67.5,69.0,100350,1777350
NIFTY,28OCT21,18100,PE,2021-10-22,09:48:59,68.9,71.4,67.7,69.9,99550,1777350
NIFTY,28OCT21,18100,PE,2021-10-22,09:49:59,69.85,72.05,68.9,68.9,97600,1777350
NIFTY,28OCT21,18100,PE,2021-10-22,09:50:59,68.6,70.3,66.7,68.85,86650,1782750
NIFTY,28OCT21,18100,PE,2021-10-22,09:51:59,69.3,73.35,69.3,70.45,98200,1782750
NIFTY,28OCT21,18100,PE,2021-10-22,09:52:59,70.55,72.4,69.35,69.4,64100,1782750
NIFTY,28OCT21,18100,PE,2021-10-22,09:53:59,69.55,74.35,69.55,74.3,69800,1794500
NIFTY,28OCT21,18100,PE,2021-10-22,09:54:59,74.8,76.35,71.35,72.65,126450,1794500
NIFTY,28OCT21,18100,PE,2021-10-22,09:55:59,72.6,76.45,72.6,76.45,112650,1794500
NIFTY,28OCT21,18100,PE,2021-10-22,09:56:59,76.3,80.35,76.3,80.35,188800,1787800
NIFTY,28OCT21,18100,PE,2021-10-22,09:57:59,80.85,85.0,79.7,80.7,236900,1787800
NIFTY,28OCT21,18100,PE,2021-10-22,09:58:59,80.6,81.75,77.4,78.7,106550,1787800
NIFTY,28OCT21,18100,PE,2021-10-22,09:59:59,78.3,78.3,72.65,74.9,144000,1784950
NIFTY,28OCT21,18100,PE,2021-10-22,10:00:59,74.45,78.85,73.8,74.95,95800,1784950
NIFTY,28OCT21,18100,PE,2021-10-22,10:01:59,75.0,75.0,69.15,72.0,106350,1784950
NIFTY,28OCT21,18100,PE,2021-10-22,10:02:59,72.65,73.3,70.05,70.85,55000,1795650
NIFTY,28OCT21,18100,PE,2021-10-22,10:03:59,70.9,71.0,66.35,67.3,90850,1795650
NIFTY,28OCT21,18100,PE,2021-10-22,10:04:59,67.4,68.0,65.7,68.0,77050,1795650
NIFTY,28OCT21,18100,PE,2021-10-22,10:05:59,68.25,68.95,66.6,67.7,62850,1812400
NIFTY,28OCT21,18100,PE,2021-10-22,10:06:59,67.6,70.2,67.55,68.9,59450,1812400
NIFTY,28OCT21,18100,PE,2021-10-22,10:07:59,68.95,70.1,67.05,67.1,68450,1812400
NIFTY,28OCT21,18100,PE,2021-10-22,10:08:59,66.8,67.2,65.0,65.2,72200,1829050
NIFTY,28OCT21,18100,PE,2021-10-22,10:09:59,65.4,68.5,64.6,67.2,61900,1829050
NIFTY,28OCT21,18100,PE,2021-10-22,10:10:59,67.4,67.9,65.05,67.15,57750,1829050
NIFTY,28OCT21,18100,PE,2021-10-22,10:11:59,67.05,68.75,66.2,66.3,34750,1847950
NIFTY,28OCT21,18100,PE,2021-10-22,10:12:59,66.3,67.85,65.25,66.9,53750,1847950
NIFTY,28OCT21,18100,PE,2021-10-22,10:13:59,66.75,67.55,66.1,67.2,25600,1847950
NIFTY,28OCT21,18100,PE,2021-10-22,10:14:59,67.7,67.75,65.9,67.35,63700,1850950
NIFTY,28OCT21,18100,PE,2021-10-22,10:15:59,67.15,68.4,66.45,67.9,43800,1850950
NIFTY,28OCT21,18100,PE,2021-10-22,10:16:59,67.9,69.65,67.6,69.45,60500,1850950
NIFTY,28OCT21,18100,PE,2021-10-22,10:17:59,69.6,72.35,69.6,71.25,85100,1851100
NIFTY,28OCT21,18100,PE,2021-10-22,10:18:59,71.55,74.45,71.55,74.45,89500,1851100
NIFTY,28OCT21,18100,PE,2021-10-22,10:19:59,74.6,75.95,73.15,73.65,108900,1851100
NIFTY,28OCT21,18100,PE,2021-10-22,10:20:59,73.55,76.55,73.0,73.9,107950,1867350
NIFTY,28OCT21,18100,PE,2021-10-22,10:21:59,73.6,74.05,68.85,70.7,91700,1867350
NIFTY,28OCT21,18100,PE,2021-10-22,10:22:59,70.7,70.7,66.85,67.65,66700,1867350
NIFTY,28OCT21,18100,PE,2021-10-22,10:23:59,67.85,68.15,66.0,67.3,57850,1875900
NIFTY,28OCT21,18100,PE,2021-10-22,10:24:59,67.45,68.3,66.2,67.35,40850,1875900
NIFTY,28OCT21,18100,PE,2021-10-22,10:25:59,67.1,68.8,65.55,68.8,41650,1875900
NIFTY,28OCT21,18100,PE,2021-10-22,10:26:59,68.9,69.45,65.2,65.35,64500,1900350
NIFTY,28OCT21,18100,PE,2021-10-22,10:27:59,65.8,67.0,65.4,65.45,32500,1900350
NIFTY,28OCT21,18100,PE,2021-10-22,10:28:59,65.4,65.75,64.15,65.1,51900,1900350
NIFTY,28OCT21,18100,PE,2021-10-22,10:29:59,65.15,66.05,63.75,65.0,56600,1901250
NIFTY,28OCT21,18100,PE,2021-10-22,10:30:59,64.55,67.6,63.7,67.6,60000,1901250
NIFTY,28OCT21,18100,PE,2021-10-22,10:31:59,67.75,71.25,67.5,68.95,85850,1901250
NIFTY,28OCT21,18100,PE,2021-10-22,10:32:59,68.85,68.9,66.15,67.8,69850,1897450
NIFTY,28OCT21,18100,PE,2021-10-22,10:33:59,68.1,69.0,67.05,67.9,37850,1897450
NIFTY,28OCT21,18100,PE,2021-10-22,10:34:59,67.5,69.25,67.05,68.4,42100,1897450
NIFTY,28OCT21,18100,PE,2021-10-22,10:35:59,68.3,69.95,67.05,68.0,41100,1908800
NIFTY,28OCT21,18100,PE,2021-10-22,10:36:59,67.65,69.95,67.45,68.85,25450,1908800
NIFTY,28OCT21,18100,PE,2021-10-22,10:37:59,68.6,69.2,67.0,68.2,31450,1908800
NIFTY,28OCT21,18100,PE,2021-10-22,10:38:59,68.6,68.95,65.85,66.25,37850,1907250
NIFTY,28OCT21,18100,PE,2021-10-22,10:39:59,67.1,67.15,65.2,65.7,31200,1907250
NIFTY,28OCT21,18100,PE,2021-10-22,10:40:59,65.4,65.85,64.7,65.15,45350,1907250
NIFTY,28OCT21,18100,PE,2021-10-22,10:41:59,65.0,67.1,64.95,66.3,40500,1921250
NIFTY,28OCT21,18100,PE,2021-10-22,10:42:59,66.1,66.7,65.4,66.7,26300,1921250
NIFTY,28OCT21,18100,PE,2021-10-22,10:43:59,66.6,67.15,65.5,67.0,48700,1921250
NIFTY,28OCT21,18100,PE,2021-10-22,10:44:59,66.55,68.5,66.2,68.5,45550,1932550
NIFTY,28OCT21,18100,PE,2021-10-22,10:45:59,68.4,70.8,67.7,70.2,60500,1932550
NIFTY,28OCT21,18100,PE,2021-10-22,10:46:59,70.6,70.95,68.6,70.45,64200,1932550
NIFTY,28OCT21,18100,PE,2021-10-22,10:47:59,70.5,71.05,69.6,70.0,44350,1930150
NIFTY,28OCT21,18100,PE,2021-10-22,10:48:59,70.0,73.25,70.0,73.0,59200,1930150
NIFTY,28OCT21,18100,PE,2021-10-22,10:49:59,73.0,75.0,72.6,74.75,76750,1930150
NIFTY,28OCT21,18100,PE,2021-10-22,10:50:59,74.9,76.8,71.65,71.75,118550,1934900
NIFTY,28OCT21,18100,PE,2021-10-22,10:51:59,72.05,74.05,69.85,73.9,70550,1934900
NIFTY,28OCT21,18100,PE,2021-10-22,10:52:59,73.7,78.5,73.7,78.0,101600,1934900
NIFTY,28OCT21,18100,PE,2021-10-22,10:53:59,77.95,80.1,75.6,75.6,129750,1928500
NIFTY,28OCT21,18100,PE,2021-10-22,10:54:59,75.45,81.0,75.0,80.3,148450,1928500
NIFTY,28OCT21,18100,PE,2021-10-22,10:55:59,80.0,81.95,78.3,81.65,137350,1928500
NIFTY,28OCT21,18100,PE,2021-10-22,10:56:59,81.7,82.0,75.95,76.05,136900,1938850
NIFTY,28OCT21,18100,PE,2021-10-22,10:57:59,75.15,77.05,73.85,76.75,78600,1938850
NIFTY,28OCT21,18100,PE,2021-10-22,10:58:59,76.8,79.65,76.8,77.7,62950,1938850
NIFTY,28OCT21,18100,PE,2021-10-22,10:59:59,77.65,78.0,73.3,73.3,92800,1947600
NIFTY,28OCT21,18100,PE,2021-10-22,11:00:59,73.15,73.15,69.8,69.9,91650,1947600
NIFTY,28OCT21,18100,PE,2021-10-22,11:01:59,70.6,72.0,69.75,70.45,69150,1947600
NIFTY,28OCT21,18100,PE,2021-10-22,11:02:59,70.85,72.75,70.5,71.8,45800,1958200
NIFTY,28OCT21,18100,PE,2021-10-22,11:03:59,71.75,73.8,71.45,72.85,67500,1958200
NIFTY,28OCT21,18100,PE,2021-10-22,11:04:59,71.7,72.55,68.45,69.35,71250,1958200
NIFTY,28OCT21,18100,PE,2021-10-22,11:05:59,69.2,70.0,66.5,67.3,74050,1961700
NIFTY,28OCT21,18100,PE,2021-10-22,11:06:59,67.35,70.0,67.2,69.0,42700,1961700
NIFTY,28OCT21,18100,PE,2021-10-22,11:07:59,69.45,69.45,67.3,67.55,46850,1961700
NIFTY,28OCT21,18100,PE,2021-10-22,11:08:59,67.6,69.35,67.5,67.9,39600,1984100
NIFTY,28OCT21,18100,PE,2021-10-22,11:09:59,67.9,67.9,64.9,66.25,93400,1984100
NIFTY,28OCT21,18100,PE,2021-10-22,11:10:59,65.7,66.65,65.3,65.4,49950,1984100
NIFTY,28OCT21,18100,PE,2021-10-22,11:11:59,65.0,67.65,64.55,67.4,77250,2013350
NIFTY,28OCT21,18100,PE,2021-10-22,11:12:59,67.5,69.9,67.45,68.55,59550,2013350
NIFTY,28OCT21,18100,PE,2021-10-22,11:13:59,68.1,69.45,67.5,69.45,42000,2013350
NIFTY,28OCT21,18100,PE,2021-10-22,11:14:59,68.85,71.4,68.75,71.35,52600,2015950
NIFTY,28OCT21,18100,PE,2021-10-22,11:15:59,71.4,72.15,68.45,69.7,77250,2015950
NIFTY,28OCT21,18100,PE,2021-10-22,11:16:59,70.0,73.15,70.0,72.5,66100,2015950
NIFTY,28OCT21,18100,PE,2021-10-22,11:17:59,73.0,74.55,72.55,73.75,89350,2012250
NIFTY,28OCT21,18100,PE,2021-10-22,11:18:59,73.85,74.05,71.55,72.85,54700,2012250
NIFTY,28OCT21,18100,PE,2021-10-22,11:19:59,73.2,74.35,72.5,72.8,47000,2012250
NIFTY,28OCT21,18100,PE,2021-10-22,11:20:59,72.95,74.5,72.5,74.5,51250,2005250
NIFTY,28OCT21,18100,PE,2021-10-22,11:21:59,74.65,75.8,73.4,73.65,87250,2005250
NIFTY,28OCT21,18100,PE,2021-10-22,11:22:59,73.35,76.35,72.25,74.4,80150,2005250
NIFTY,28OCT21,18100,PE,2021-10-22,11:23:59,74.15,75.3,72.3,72.3,57200,2025950
NIFTY,28OCT21,18100,PE,2021-10-22,11:24:59,72.05,73.05,69.45,72.7,97250,2025950
NIFTY,28OCT21,18100,PE,2021-10-22,11:25:59,72.85,77.0,72.6,77.0,57250,2025950
NIFTY,28OCT21,18100,PE,2021-10-22,11:26:59,77.05,79.6,76.25,78.35,77500,2032750
NIFTY,28OCT21,18100,PE,2021-10-22,11:27:59,78.75,91.95,78.75,89.2,377600,2032750
NIFTY,28OCT21,18100,PE,2021-10-22,11:28:59,90.65,94.1,85.9,92.9,248600,2032750
NIFTY,28OCT21,18100,PE,2021-10-22,11:29:59,93.05,101.7,92.0,94.25,389600,1987450
NIFTY,28OCT21,18100,PE,2021-10-22,11:30:59,93.85,95.85,86.95,95.85,301450,1987450
NIFTY,28OCT21,18100,PE,2021-10-22,11:31:59,96.3,103.35,93.3,100.0,369350,1987450
NIFTY,28OCT21,18100,PE,2021-10-22,11:32:59,99.4,111.9,99.2,106.45,529700,1987450
NIFTY,28OCT21,18100,PE,2021-10-22,11:33:59,107.95,115.85,105.95,107.3,396900,2051700
NIFTY,28OCT21,18100,PE,2021-10-22,11:34:59,107.65,113.05,107.4,109.9,284550,2051700
NIFTY,28OCT21,18100,PE,2021-10-22,11:35:59,110.55,114.15,105.2,106.25,341850,2093900
NIFTY,28OCT21,18100,PE,2021-10-22,11:36:59,105.5,105.65,97.6,99.05,303900,2093900
NIFTY,28OCT21,18100,PE,2021-10-22,11:37:59,98.65,109.45,97.3,105.75,210550,2093900
NIFTY,28OCT21,18100,PE,2021-10-22,11:38:59,104.45,109.4,103.5,107.0,176150,2093900
NIFTY,28OCT21,18100,PE,2021-10-22,11:39:59,108.3,114.3,106.9,113.75,250200,2152000
NIFTY,28OCT21,18100,PE,2021-10-22,11:40:59,115.25,117.7,112.0,112.85,369450,2152000
NIFTY,28OCT21,18100,PE,2021-10-22,11:41:59,112.8,112.8,105.85,106.9,192300,2152000
NIFTY,28OCT21,18100,PE,2021-10-22,11:42:59,106.7,112.0,105.0,105.0,144050,2132900
NIFTY,28OCT21,18100,PE,2021-10-22,11:43:59,105.1,106.4,101.85,101.85,124100,2132900
NIFTY,28OCT21,18100,PE,2021-10-22,11:44:59,101.45,102.2,98.8,99.1,140900,2132900
NIFTY,28OCT21,18100,PE,2021-10-22,11:45:59,99.25,110.95,98.6,109.25,182400,2189950
NIFTY,28OCT21,18100,PE,2021-10-22,11:46:59,108.3,108.8,101.4,102.55,114500,2189950
NIFTY,28OCT21,18100,PE,2021-10-22,11:47:59,102.35,103.8,100.0,100.5,100450,2189950
NIFTY,28OCT21,18100,PE,2021-10-22,11:48:59,100.6,102.0,97.95,99.9,90650,2232900
NIFTY,28OCT21,18100,PE,2021-10-22,11:49:59,100.9,104.05,99.8,103.8,104200,2232900
NIFTY,28OCT21,18100,PE,2021-10-22,11:50:59,104.7,104.9,92.3,92.3,212100,2232900
NIFTY,28OCT21,18100,PE,2021-10-22,11:51:59,92.2,94.5,91.55,93.9,151950,2220550
NIFTY,28OCT21,18100,PE,2021-10-22,11:52:59,93.4,94.55,90.15,91.2,183700,2220550
NIFTY,28OCT21,18100,PE,2021-10-22,11:53:59,90.65,92.3,86.8,90.25,170350,2220550
NIFTY,28OCT21,18100,PE,2021-10-22,11:54:59,90.05,94.45,89.2,94.45,104200,2184050
NIFTY,28OCT21,18100,PE,2021-10-22,11:55:59,94.15,97.0,93.65,97.0,134000,2184050
NIFTY,28OCT21,18100,PE,2021-10-22,11:56:59,96.45,96.7,93.5,96.5,84200,2184050
NIFTY,28OCT21,18100,PE,2021-10-22,11:57:59,96.0,97.05,94.5,95.05,71500,2198300
NIFTY,28OCT21,18100,PE,2021-10-22,11:58:59,95.9,101.1,95.3,99.35,82300,2198300
NIFTY,28OCT21,18100,PE,2021-10-22,11:59:59,99.55,108.8,99.55,108.8,175300,2198300
NIFTY,28OCT21,18100,PE,2021-10-22,12:00:59,108.1,112.95,107.2,112.25,262050,2223350
NIFTY,28OCT21,18100,PE,2021-10-22,12:01:59,112.55,115.35,106.9,106.9,261950,2223350
NIFTY,28OCT21,18100,PE,2021-10-22,12:02:59,107.0,107.85,97.2,97.25,195500,2223350
NIFTY,28OCT21,18100,PE,2021-10-22,12:03:59,98.0,105.1,98.0,104.0,98600,2206200
NIFTY,28OCT21,18100,PE,2021-10-22,12:04:59,103.75,107.5,103.05,106.3,78450,2206200
NIFTY,28OCT21,18100,PE,2021-10-22,12:05:59,106.4,112.05,106.3,107.4,148600,2206200
NIFTY,28OCT21,18100,PE,2021-10-22,12:06:59,108.0,109.6,103.8,104.35,80250,2239950
NIFTY,28OCT21,18100,PE,2021-10-22,12:07:59,104.2,110.85,102.95,109.6,114000,2239950
NIFTY,28OCT21,18100,PE,2021-10-22,12:08:59,108.75,115.25,107.3,113.45,203350,2239950
NIFTY,28OCT21,18100,PE,2021-10-22,12:09:59,114.6,123.25,111.55,119.7,453850,2271050
NIFTY,28OCT21,18100,PE,2021-10-22,12:10:59,120.95,126.15,114.75,117.4,355600,2271050
NIFTY,28OCT21,18100,PE,2021-10-22,12:11:59,116.85,120.85,112.4,118.5,196050,2271050
NIFTY,28OCT21,18100,PE,2021-10-22,12:12:59,118.85,118.95,112.0,115.2,126250,2272900
NIFTY,28OCT21,18100,PE,2021-10-22,12:13:59,115.25,116.9,111.05,116.9,110650,2272900
NIFTY,28OCT21,18100,PE,2021-10-22,12:14:59,117.5,120.7,116.7,120.5,156750,2272900
NIFTY,28OCT21,18100,PE,2021-10-22,12:15:59,121.1,123.6,117.2,121.95,242600,2303600
NIFTY,28OCT21,18100,PE,2021-10-22,12:16:59,121.95,122.1,114.7,118.55,214050,2303600
NIFTY,28OCT21,18100,PE,2021-10-22,12:17:59,117.9,118.45,106.25,106.45,231450,2303600
NIFTY,28OCT21,18100,PE,2021-10-22,12:18:59,106.55,110.45,102.75,110.45,200000,2330250
NIFTY,28OCT21,18100,PE,2021-10-22,12:19:59,109.95,115.35,108.8,115.35,144650,2330250
NIFTY,28OCT21,18100,PE,2021-10-22,12:20:59,114.6,117.9,111.1,114.8,148900,2330250
NIFTY,28OCT21,18100,PE,2021-10-22,12:21:59,115.0,117.4,113.8,116.8,101400,2323150
NIFTY,28OCT21,18100,PE,2021-10-22,12:22:59,116.0,121.0,114.25,118.95,186450,2323150
NIFTY,28OCT21,18100,PE,2021-10-22,12:23:59,118.9,122.8,114.0,119.35,232650,2323150
NIFTY,28OCT21,18100,PE,2021-10-22,12:24:59,122.4,124.55,118.45,121.0,263000,2329950
NIFTY,28OCT21,18100,PE,2021-10-22,12:25:59,121.05,122.15,117.65,117.9,150750,2329950
NIFTY,28OCT21,18100,PE,2021-10-22,12:26:59,117.7,119.25,111.0,117.15,191150,2329950
NIFTY,28OCT21,18100,PE,2021-10-22,12:27:59,116.5,116.7,110.25,112.25,143300,2334850
NIFTY,28OCT21,18100,PE,2021-10-22,12:28:59,112.25,116.75,111.7,113.5,79700,2334850
NIFTY,28OCT21,18100,PE,2021-10-22,12:29:59,113.45,113.5,109.35,109.75,89600,2334850
NIFTY,28OCT21,18100,PE,2021-10-22,12:30:59,110.6,115.2,110.0,113.35,90400,2334600
NIFTY,28OCT21,18100,PE,2021-10-22,12:31:59,113.65,113.95,107.3,109.8,108350,2334600
NIFTY,28OCT21,18100,PE,2021-10-22,12:32:59,109.95,110.95,106.6,109.25,99000,2334600
NIFTY,28OCT21,18100,PE,2021-10-22,12:33:59,108.55,111.1,106.95,108.05,68650,2340050
NIFTY,28OCT21,18100,PE,2021-10-22,12:34:59,108.0,108.35,104.4,108.0,134450,2340050
NIFTY,28OCT21,18100,PE,2021-10-22,12:35:59,108.65,109.95,106.1,106.85,71800,2340050
NIFTY,28OCT21,18100,PE,2021-10-22,12:36:59,107.4,115.0,107.4,113.2,144150,2360400
NIFTY,28OCT21,18100,PE,2021-10-22,12:37:59,113.3,118.55,113.2,116.6,139950,2360400
NIFTY,28OCT21,18100,PE,2021-10-22,12:38:59,117.65,118.25,115.25,116.0,147650,2360400
NIFTY,28OCT21,18100,PE,2021-10-22,12:39:59,116.0,117.65,111.6,111.8,125550,2413100
NIFTY,28OCT21,18100,PE,2021-10-22,12:40:59,112.2,115.8,112.05,113.95,65600,2413100
NIFTY,28OCT21,18100,PE,2021-10-22,12:41:59,114.1,117.95,114.1,114.5,104850,2413100
NIFTY,28OCT21,18100,PE,2021-10-22,12:42:59,113.8,120.9,113.8,118.65,170700,2430500
NIFTY,28OCT21,18100,PE,2021-10-22,12:43:59,118.85,119.8,114.25,117.15,110250,2430500
NIFTY,28OCT21,18100,PE,2021-10-22,12:44:59,117.6,118.85,114.85,117.45,75450,2430500
NIFTY,28OCT21,18100,PE,2021-10-22,12:45:59,117.25,118.85,112.0,112.05,105800,2469250
NIFTY,28OCT21,18100,PE,2021-10-22,12:46:59,112.15,112.75,109.0,110.05,124500,2469250
NIFTY,28OCT21,18100,PE,2021-10-22,12:47:59,110.75,110.75,101.85,107.75,185700,2469250
NIFTY,28OCT21,18100,PE,2021-10-22,12:48:59,107.65,109.25,105.35,107.75,88650,2463050
NIFTY,28OCT21,18100,PE,2021-10-22,12:49:59,108.2,109.8,106.25,109.0,68600,2463050
NIFTY,28OCT21,18100,PE,2021-10-22,12:50:59,108.6,112.6,108.2,111.25,85050,2463050
NIFTY,28OCT21,18100,PE,2021-10-22,12:51:59,111.5,112.65,109.25,111.75,55850,2468250
NIFTY,28OCT21,18100,PE,2021-10-22,12:52:59,112.0,116.25,112.0,116.05,111150,2468250
NIFTY,28OCT21,18100,PE,2021-10-22,12:53:59,116.5,117.95,109.4,111.0,119900,2468250
NIFTY,28OCT21,18100,PE,2021-10-22,12:54:59,111.75,111.75,105.95,107.5,110850,2471950
NIFTY,28OCT21,18100,PE,2021-10-22,12:55:59,107.35,114.1,106.75,113.85,89650,2471950
NIFTY,28OCT21,18100,PE,2021-10-22,12:56:59,114.45,119.6,113.5,118.8,197250,2471950
NIFTY,28OCT21,18100,PE,2021-10-22,12:57:59,118.55,127.9,117.7,124.4,344350,2467600
NIFTY,28OCT21,18100,PE,2021-10-22,12:58:59,124.5,127.75,122.35,125.55,242950,2467600
NIFTY,28OCT21,18100,PE,2021-10-22,12:59:59,125.0,132.85,124.9,131.4,453300,2467600
NIFTY,28OCT21,18100,PE,2021-10-22,13:00:59,130.3,135.0,126.55,134.0,372600,2451950
NIFTY,28OCT21,18100,PE,2021-10-22,13:01:59,133.6,137.5,131.3,132.6,368400,2451950
NIFTY,28OCT21,18100,PE,2021-10-22,13:02:59,132.6,141.5,132.6,138.5,358750,2451950
NIFTY,28OCT21,18100,PE,2021-10-22,13:03:59,138.0,140.3,133.85,133.85,277500,2516400
NIFTY,28OCT21,18100,PE,2021-10-22,13:04:59,135.7,141.8,135.1,137.5,256750,2516400
NIFTY,28OCT21,18100,PE,2021-10-22,13:05:59,138.2,138.75,128.8,129.5,316200,2516400
NIFTY,28OCT21,18100,PE,2021-10-22,13:06:59,129.9,133.35,127.1,132.05,235750,2509050
NIFTY,28OCT21,18100,PE,2021-10-22,13:07:59,132.1,135.2,127.9,135.2,156850,2509050
NIFTY,28OCT21,18100,PE,2021-10-22,13:08:59,136.7,140.8,131.35,135.0,259300,2509050
NIFTY,28OCT21,18100,PE,2021-10-22,13:09:59,135.7,139.3,134.4,137.8,240550,2580650
NIFTY,28OCT21,18100,PE,2021-10-22,13:10:59,137.7,140.35,130.35,131.7,241150,2580650
NIFTY,28OCT21,18100,PE,2021-10-22,13:11:59,133.0,135.35,128.65,131.55,144450,2580650
NIFTY,28OCT21,18100,PE,2021-10-22,13:12:59,132.9,135.0,127.55,133.8,160450,2633900
NIFTY,28OCT21,18100,PE,2021-10-22,13:13:59,132.8,140.0,132.8,139.4,168900,2633900
NIFTY,28OCT21,18100,PE,2021-10-22,13:14:59,140.3,149.9,140.3,147.55,474200,2633900
NIFTY,28OCT21,18100,PE,2021-10-22,13:15:59,147.9,149.25,143.65,144.35,335450,2604550
NIFTY,28OCT21,18100,PE,2021-10-22,13:16:59,144.65,145.5,138.45,139.85,239850,2604550
NIFTY,28OCT21,18100,PE,2021-10-22,13:17:59,140.65,146.8,138.3,146.8,208900,2604550
NIFTY,28OCT21,18100,PE,2021-10-22,13:18:59,147.35,149.0,141.0,144.95,202250,2586300
NIFTY,28OCT21,18100,PE,2021-10-22,13:19:59,145.1,153.35,145.1,149.85,311100,2586300
NIFTY,28OCT21,18100,PE,2021-10-22,13:20:59,150.1,150.1,142.7,148.2,163350,2586300
NIFTY,28OCT21,18100,PE,2021-10-22,13:21:59,146.8,147.05,135.95,136.75,184650,2555100
NIFTY,28OCT21,18100,PE,2021-10-22,13:22:59,136.2,138.75,129.95,135.8,302850,2555100
NIFTY,28OCT21,18100,PE,2021-10-22,13:23:59,135.2,135.75,129.8,133.8,157850,2555100
NIFTY,28OCT21,18100,PE,2021-10-22,13:24:59,134.65,136.55,130.25,134.95,129100,2547250
NIFTY,28OCT21,18100,PE,2021-10-22,13:25:59,136.75,144.25,136.6,143.7,192750,2547250
NIFTY,28OCT21,18100,PE,2021-10-22,13:26:59,143.75,145.85,140.25,141.4,161050,2547250
NIFTY,28OCT21,18100,PE,2021-10-22,13:27:59,141.1,144.55,136.4,144.25,151600,2588000
NIFTY,28OCT21,18100,PE,2021-10-22,13:28:59,145.0,145.0,139.25,142.0,121050,2588000
NIFTY,28OCT21,18100,PE,2021-10-22,13:29:59,142.0,143.35,134.6,137.8,119150,2588000
NIFTY,28OCT21,18100,PE,2021-10-22,13:30:59,138.4,142.6,137.55,142.1,118500,2616250
NIFTY,28OCT21,18100,PE,2021-10-22,13:31:59,143.0,148.7,143.0,148.7,181700,2616250
